Recording ID,ISRC,Track Title,Release Date,Pline,Cline,Duration,Preview Link,Apple Link,Apple Composer,Available Stores,YouTube URL
1669584199,GBBBA0200491,3 Sarabandes: No. 1,2023-02-02,2003 Decca Music Group Limited,"℗ 2023 UMG Recordings, Inc. FP",338533,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/cb/7a/8e/cb7a8e7e-d996-f60a-9dc7-d3caba35a13a/mzaf_2476672875642082214.plus.aac.p.m4a,https://music.apple.com/album/3-sarabandes-no-1/1669583576?i=1669584199&uo=5,Erik Satie,gtl; soundcloud; midwesttape; qobuz; melodyvr; spotify; applemusic; pandora; iheartradio; trebel; primephonic; googleplay; tidal; youtube; amazonmusic; deezer; idagio; livexlive,https://www.youtube.com/watch?v=dchiTHXlsTc; https://www.youtube.com/watch?v=ausEUSDAcl4; https://www.youtube.com/watch?v=z4RDSIMJEb4; https://www.youtube.com/watch?v=UPkyDL4E7D8; https://www.youtube.com/watch?v=WhjoVRha3so; https://www.youtube.com/watch?v=MT6j7EgZXMI; https://www.youtube.com/watch?v=A419513005329172
152516842,USCGJ0631944,I Want To Be There,2006-05-02,Hounslow Key Recordings (HKR),℗ 2002 Hounslow Key Recordings (HKR),245027,https://audio-ssl.itunes.apple.com/itunes-assets/Music/0f/e3/b8/mzm.khyigudb.aac.p.m4a,https://music.apple.com/album/i-want-to-be-there/152516827?i=152516842&uo=5,,spotify; applemusic,
1500985533,USCGJ2022064,The Good In Your Heart,2020-02-29,2020 Jared Grace,℗ 2020 Jared Grace,228860,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview114/v4/5e/12/3f/5e123fe5-12cc-7d13-d189-ad471211905c/mzaf_11022505645349509122.plus.aac.p.m4a,https://music.apple.com/album/the-good-in-your-heart/1500985532?i=1500985533&uo=5,,googleplay; applemusic; youtube; spotify; amazonmusic,https://www.youtube.com/watch?v=YFrwJS_E3iI; https://www.youtube.com/watch?v=A830107452745543
1478343105,QZJG51901550,Lead,2019-08-29,,℗ 2019 ProdByRICH,137143,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/61/c8/ca/61c8ca66-cccd-221f-7714-d5b7ac6f0dae/mzaf_15857649691869735184.plus.aac.p.m4a,https://music.apple.com/album/lead/1478343095?i=1478343105&uo=5,D Jones,youtube; applemusic; amazonmusic,https://www.youtube.com/watch?v=A475700775262742
1612086666,CH7812217218,"Fall into Sleep Rain, Pt. 5",2022-02-28,2022 Fall into Sleep Rain,℗ 2022 Fall into Sleep Rain,45000,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/91/b7/ac/91b7acd8-bc9f-8666-bf97-3c6cd94a25d7/mzaf_135823535920377693.plus.aac.p.m4a,https://music.apple.com/album/fall-into-sleep-rain-pt-5/1612086419?i=1612086666&uo=5,,amazonmusic,
1009331771,RSA141314448,Sve Je Za Badava,2015-06-19,1996 Diskos,℗ 1996 Diskos,173633,https://audio-ssl.itunes.apple.com/itunes-assets/Music5/v4/2a/10/d0/2a10d091-1469-a477-54ee-a8edc8ff76e2/mzaf_2591802457558186216.plus.aac.p.m4a,https://music.apple.com/album/sve-je-za-badava/1009331306?i=1009331771&uo=5,,amazonmusic,
1463707541,QZ85M1937696,Jungle,2019-05-15,,℗ 2019 Get The Bag Association,216137,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/1a/ba/c0/1abac0b0-353c-0019-7ad4-b8c6070e7595/mzaf_687691708358054374.plus.aac.p.m4a,https://music.apple.com/album/jungle/1463707538?i=1463707541&uo=5,,applemusic; spotify; pandora; youtube,https://www.youtube.com/watch?v=fSs3g59PuZs
1633831528,QZK6G2249216,Reg Habakkuk,2022-07-09,2022 4049864 Records DK,℗ 2022 4049864 Records DK,383000,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/22/1e/47/221e4745-06e3-f206-0429-8055bb4d3bbd/mzaf_4397668942476160130.plus.aac.p.m4a,https://music.apple.com/album/reg-habakkuk/1633831524?i=1633831528&uo=5,,amazonmusic,
549538208,USA561256866,La Que Me Paso en la Vida,2012-07-31,2012 Entertain Me Europe LTD,℗ 2012 Entertain Me Europe LTD,344187,https://audio-ssl.itunes.apple.com/itunes-assets/Music/c4/d4/b4/mzi.bibnzrvt.aac.p.m4a,https://music.apple.com/album/la-que-me-paso-en-la-vida/549537552?i=549538208&uo=5,,,
1603995854,QM42K2277336,Het Egoistische Liedje 2.0 (Remastered),2022-01-08,,℗ 2022 Patrick Van Dooren,132000,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/5c/bd/07/5cbd07be-0e43-c217-a296-34b8174f3c2e/mzaf_266211793626874511.plus.aac.p.m4a,https://music.apple.com/album/het-egoistische-liedje-2-0-remastered/1603995848?i=1603995854&uo=5,,spotify,
962936001,GBSMU1962189,Salir por Pies,2015-01-29,2013 La Casa Del Gato Records,℗ 2013 La Casa Del Gato Records,279033,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f2/b3/c9/f2b3c952-1c7a-c639-73e4-84350d5c8ca2/mzaf_15986946530932613191.plus.aac.p.m4a,https://music.apple.com/album/salir-por-pies/962935863?i=962936001&uo=5,,youtube; spotify; googleplay; applemusic,https://www.youtube.com/watch?v=rXavjnZD_IU
1444448004,AUNV01500698,Not Many If Any (Torren Foot Remix),2018-11-23,"2015 Hussle Recordings, Under exclusive license to Universal Music AB","℗ 2015 Hussle Recordings, a division of Ministry Of Sound Australia Pty Ltd, Under exclusive license to Universal Music AB",308438,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/ce/8f/49/ce8f491f-603e-7b03-5587-c0301412e5a0/mzaf_4439548947703396838.plus.aac.p.m4a,https://music.apple.com/album/not-many-if-any-torren-foot-remix/1444447719?i=1444448004&uo=5,,amazonmusic; spotify; googleplay; beatport; soundcloud; youtube; deezer; pandora; applemusic; iheartradio; tidal,https://www.youtube.com/watch?v=XgPXgHx6nK0
1659039492,GBHBP0900063,"Listen, the Snow Is Falling",2022-12-09,℗ 2009 Fullfill LLC.,℗ 2009 Cherry Red Records Ltd,205373,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/4d/4a/eb/4d4aebc0-439c-60e1-0948-14112b4b6bd9/mzaf_16100148336606852534.plus.aac.p.m4a,https://music.apple.com/album/listen-the-snow-is-falling/1659039163?i=1659039492&uo=5,,deezer; iheartradio; qobuz; applemusic; googleplay; spotify; pandora; youtube; tidal; melodyvr; amazonmusic; livexlive,https://www.youtube.com/watch?v=PrIucrklnVQ
1445242085,GBAJU1900166,Seven Hokusai Miniatures for String Quartet: V. Ghosts,2018-12-01,2019 Wyastone Estate Limited,℗ 2019 Wyastone Estate Limited,182453,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/73/70/91/73709128-473a-0f48-0cf7-2c7bb4b35531/mzaf_8615471089169341224.plus.aac.p.m4a,https://music.apple.com/album/seven-hokusai-miniatures-for-string-quartet-v-ghosts/1445241750?i=1445242085&uo=5,Richard Blackford,tidal; qobuz; idagio; gtl; youtube; applemusic; spotify,https://www.youtube.com/watch?v=rT7y-6xRTg
1520186343,SE6HN2089494,Paradise Soul,2020-06-24,,℗ 2020 Direwolf Music,109064,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/ee/41/eb/ee41ebdf-1d9b-f573-b49b-cde5ddcda9f1/mzaf_16238090704992870543.plus.aac.p.m4a,https://music.apple.com/album/paradise-soul/1520186336?i=1520186343&uo=5,,youtube; spotify,https://www.youtube.com/watch?v=KDbV1Igj0fs; https://www.youtube.com/watch?v=k51U5CNRJUw
596069239,DEOE81100181,The Beach Stop,2013-01-23,2012 Monkeytown Records,℗ 2012 Monkeytown Records,203160,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/8e/bc/e9/8ebce929-a28c-e7b9-53f3-9d142afe54f9/mzaf_11777119029080567183.plus.aac.p.m4a,https://music.apple.com/album/the-beach-stop/596069099?i=596069239&uo=5,Andi Thoma & Jan St. Werner,iheartradio; amazonmusic; tidal; applemusic; pandora; youtube; spotify; deezer; melodyvr; qobuz,https://www.youtube.com/watch?v=rgWE_aViLfg
973017346,FR6V82247297,Danger,2015-03-03,2015 Madzonegeneration Records,℗ 2015 Madzonegeneration Records,534049,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/16/95/ac/1695acd2-b674-03bf-61bc-d3d24beaefbb/mzaf_15660045353737122262.plus.aac.p.m4a,https://music.apple.com/album/danger/973017138?i=973017346&uo=5,Ettore Angrisani,googleplay; spotify; applemusic; amazonmusic; deezer; youtube; tidal,https://www.youtube.com/watch?v=xCrzekprL14; https://www.youtube.com/watch?v=xleJbkQUFXI; https://www.youtube.com/watch?v=m8SCIFHWFDM; https://www.youtube.com/watch?v=wYQZcCSh4R8; https://www.youtube.com/watch?v=A570062695288859; https://www.youtube.com/watch?v=A247867104303589; https://www.youtube.com/watch?v=q8zwtwenVgI; https://www.youtube.com/watch?v=Z-0o4uJIFd4
816778465,UK4YS1367208,What's the Good of Moonlight,2014-02-08,,℗ 2013 MGMPD,164453,https://audio-ssl.itunes.apple.com/itunes-assets/Music4/v4/0b/f7/e2/0bf7e288-bbdd-4ae8-9716-c63dc61571c9/mzaf_5344966884739848253.plus.aac.p.m4a,https://music.apple.com/album/whats-the-good-of-moonlight/816778457?i=816778465&uo=5,,,
1604690157,QM4TW2222068,Lo Hallarás,2022-01-13,2022 Music Shop,℗ 2022 Music Shop,170040,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/c5/dd/cf/c5ddcfc6-2923-d96a-6a57-bcc51dc3692f/mzaf_12752072535431215817.plus.aac.p.m4a,https://music.apple.com/album/lo-hallar%C3%A1s/1604690142?i=1604690157&uo=5,,tidal; spotify,
