Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
GV9L0A,,716372,503659557,KOBALT MUSIC PUB AMERICA INC,RightsAdministrator
R4236J,,716372,503659557,KOBALT MUSIC PUB AMERICA INC,RightsAdministrator
N29864,,727264,,SUPER CASSETTES,OriginalPublisher
S6654J,,727264,,SUPER CASSETTES,OriginalPublisher
O26732,,727264,,SUPER CASSETTES,OriginalPublisher
SVD284,T9180132278,746379,670513949,ULTRA TUNES,RightsAdministrator
YD5M3H,T9285885338,745126,,IPRS,OriginalPublisher
C7755K,,737745,,MUSIKVERLAG HUBL ENTERPRISES,OriginalPublisher
S7240T,,779643,,THE BRITTEN ESTATE LTD,OriginalPublisher
SVGPGS,T7029621216,836892,,S D R M,OriginalPublisher
F2099D,T9012439451,894146,343900479,OUTSIDER MUSIC,OriginalPublisher
SC85Q5,,948542,638749598,IAN ELLERKER,Composer
IVDMC1,,905028,,MUSIC BOX AVENUE,OriginalPublisher
T00288,,943296,88721248,MPL COMMUNICATIONS INC,OriginalPublisher
X8133R,T0023938626,955072,543990133,DANIEL MIKAEL CAESAR,ComposerLyricist
U04224,,752653,601191692,BMG GOLD SONGS,RightsAdministrator
SC0520,,752653,601191692,BMG GOLD SONGS,SubPublisher
MVCFOX,,774600,350673762,JEEPNEY MUSIC PUB,OriginalPublisher
F3099J,,813680,496505717,THE BAD BAD GUYS,OriginalPublisher
UV7FY5,,836877,768515110,JYP PUBLISHING,OriginalPublisher
GE8CSE,T3114220070,836988,,SUISA,OriginalPublisher
LVBJ80,,861339,338164558,SONY/ATV TUNES LLC,RightsAdministrator
P6683K,,861339,338164558,SONY/ATV TUNES LLC,RightsAdministrator
NV81EM,,861339,338164558,SONY/ATV TUNES LLC,RightsAdministrator
IV8IZ8,T9103930694,902530,179581129,"MEGATRAX PRODUCTION MUSIC, INC",RightsAdministrator
C2733C,,914720,42012247,NIPPON TELEVISION MUSIC CORP.,OriginalPublisher
H3493U,,917180,183229075,LEOSONG MUSIC AMERICA,OriginalPublisher
MA0Y7M,T3044533844,927121,509030978,SENTRIC MUSIC LIMITED,SubPublisher
FV98R2,T7034846976,949476,151023035,JEROME FRANCOIS FABY,Composer
E5397R,T0421310420,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
GV8NKO,,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
E4089Y,T9704812679,862881,253838743,NASCIMENTO EDICOES MUSICAIS LT,OriginalPublisher
PV8Y20,T9196593109,861337,187062752,SONY/ATV SONGS LLC,RightsAdministrator
N65006,T9154006572,884128,680734921,ROBOT DRAGON MUSIC,OriginalPublisher
BA0EAL,T3019752020,905415,463700859,TRUELOVE MUSIC INTERNATIONAL,OriginalPublisher
M5968D,,926076,60796953,WC MUSIC CORP,OriginalPublisher
SVEVXM,T8039658942,910353,339668123,ROYNET MUSIC,OriginalPublisher
S6687E,,727264,,SUPER CASSETTES,OriginalPublisher
L9926W,,728620,21880894,EDITION EGTVED,OriginalPublisher
T17703,T9158532708,939515,233002628,ORBI LEE PUB,OriginalPublisher
Y2627M,T9092644569,905022,747579783,MARK PELLI MUSIC INC.,OriginalPublisher
MA8YUU,,834178,456590822,TUNES BY VIACOM INC,OriginalPublisher
UV7FY5,,924572,285100389,SONY/ATV MUSIC PUBLISHING KOREA,OriginalPublisher
P44078,,771234,601712397,"CONCORD MUSIC GROUP, INC. DBA CONCORD SOUNDS",RightsAdministrator
AVCN75,T9225030820,823448,437509055,UNIVERSAL TV MUSIC PUBL. LLC.,OriginalPublisher
XV7B7M,T3125250279,861339,338164558,SONY/ATV TUNES LLC,RightsAdministrator
C2238A,,885912,42111147,DASH MUSIC LTD,OriginalPublisher
T4893A,T9108046442,933053,439636231,SUPER CASSETTES INDUSTRIES LTD,OriginalPublisher
DVCV47,T9033802458,950837,437675524,UMIT KUZER,Composer
W4519E,T0108666632,861337,187062752,SONY/ATV SONGS LLC,SubPublisher
E39698,,884081,,HIGHSCORE PUB,OriginalPublisher
MV9HTC,,920093,229993322,"WIXEN MUSIC PUBLISHING, INC.",RightsAdministrator
H7119L,T0023916597,935987,755783201,NON-STOP STUDIO,OriginalPublisher
JC6HWF,T9177985567,800316,,MECHANICAL COPYRIGHT PROTECTION SOCIETY LTD,OriginalPublisher
JV819J,,881367,682721138,BEING PUBLISHING INC,OriginalPublisher
EV9MIS,T9248181626,939083,475850815,SHENANZHU LLC,OriginalPublisher
I19488,T0714971615,801847,342772265,IT_S TEA TYME MUSIC,OriginalPublisher
SVBV7G,T9047831721,951386,356315661,RENE GARZA ALDAPE,ComposerLyricist
SV7OZX,,977734,732104096,BILLIE RAY FINGERS,Composer
H2729S,T9028666504,983624,344013799,RONNIE C JR FREEMAN,ComposerLyricist
B7788J,,856600,216877642,YOMIURI-TV ENTERPRISE,OriginalPublisher
SVEVXM,T8039658942,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
D8142O,T0027337445,752642,595808890,BMG PLATINUM SONGS,RightsAdministrator
X19932,,933808,,MEDIAN MUSIC,OriginalPublisher
SVD46P,T0352905500,886016,231728974,SONY DADC MEXICO SA DE CV,OriginalPublisher
L7599W,,889524,479691393,JULIANTLA MUSICAL,OriginalPublisher
MVCFOX,,1083019,462765336,BRIAN CHASE,ComposerLyricist
