Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
MVCA18,T0724179503,2727739,719510938,RUMINATING MUSIC,RightsAdministrator
PVCMNU,,3833139,202914110,WILLIAM ASHFORD,Composer
BA4AN8,,2743528,276314560,SONOTON MUSIC GMBH CO KG,OriginalPublisher
L5607W,T0701023962,3833406,208006509,CHRIS ISAAK,Composer
H2413E,T0006146662,336113,189118737,EZEKIEL LEWIS,ComposerLyricist
DVAN86,T3057884392,372020,505412886,FREDERICK NELSON,ComposerLyricist
SVEVXM,T8039658942,4138176,252344684,KATJA NAGEL,ComposerLyricist
C8695W,,4322122,630488057,PAULINE GOSSE CAMO,Composer
PV7DOZ,,4074516,239823250,WALTER THOMAS WERZOWA,Composer
CV9P54,T3057925512,420137,199359800,MELVIN CURTIS COLEMAN,ComposerLyricist
EA82AZ,T9287095038,4629096,696532502,AUTUMN D II WHITE,ComposerLyricist
JV7AQI,,435443,178997194,ADELE HARLEY,ComposerLyricist
WV7RTN,,471719,594214931,SEBASTIAN FERNANDO OVENS,Composer
SVEVXM,T8039658942,4526577,,NELSOM KOROMA,ComposerLyricist
BA4AN8,,4519642,570344560,LEO FREDERIC NETZBAND,Composer
UA2QBE,T9287444104,433910,404843081,BRENNAN FITZHUGH JOHNSTON,ComposerLyricist
DB0YEY,,4514238,892165411,VYDIA MUSIC PUBLISHING,RightsAdministrator
X8133R,T0023938626,416736,592263044,THE KENNEL AB,OriginalPublisher
S8891G,T0371190907,1953420,67199540,ALFREDO ZITARROSA,Composer
P3127K,,1854706,,TILIAKOU SEVI SEVASTI BENOIS,Composer
P3127K,,519246,,A.E.P.I.,OriginalPublisher
IV7NQB,,525835,,GOLDSTAR MUSIC EDITION,OriginalPublisher
G24479,T9068821090,521031,53765369,MIJAC MUSIC,OriginalPublisher
MB5O6T,T3088271921,5565453,,AKKA-LAA,OriginalPublisher
H2413E,T0006146662,638629,354310688,EZEKE INTERNATIONAL,OriginalPublisher
H2413E,T0006146662,598709,31312147,UNIVERSAL MUSIC CORP.,OriginalPublisher
H2413E,T0006146662,598710,282802660,UNIVERSAL-POLYGRAM INTL TUNES INC.,OriginalPublisher
RB1IQD,,628990,691477506,SENTRIC MUSIC PUBLISHING,OriginalPublisher
E58791,T0700518075,615191,353271280,"SONGS OF UNIVERSAL, INC.",RightsAdministrator
VB0K5R,T0399417389,6172272,1120643505,MARCELLO HENRIQUE DAMASIO DE SOUSA,OriginalPublisher
S2875N,,710290,539732230,UNIVERSAL MUSIC-CAREERS,RightsAdministrator
N29864,,710288,538724724,UNIVERSAL MUSIC-MGB SONGS,RightsAdministrator
MVCA18,T0724179503,712496,64800684,MODERN LOVE SONGS,OriginalPublisher
